SnesAddressHex,SnesAddress,Name,Comment,UsedStatus
$00FFE4,65508,Native_COP,,USED
$00FFE6,65510,Native_BRK,,USED
$00FFEA,65514,Native_NMI,,USED
$00FFF4,65524,Native_IRQ,,USED
$00FFFE,65534,Emulation_RESET,,USED
$05D67D,382589,Eqp_names,,USED
$05E24E,385614,Weapon_nerf,,USED
$059F7B,368507,Char_names,"Maybe for battle, unsure where",USED
$059FE9,368617,Name_Enemy,,USED
$05A539,369977,Enemy_A_H,,USED
$07B220,504352,Sub_Dungeon_check,,USED
$05A554,370004,Job_titles,,USED
$05A8BF,370879,Statuses,,USED
$05A895,370837,Menu_Element_Names,,USED
$05A5FE,370174,Locations,,USED
$05A91A,370970,To_next_level_Rooks,,USED
$05AD52,372050,Level_up_stats,,USED
$05AD5E,372062,Blank_stats,12 bytes each,USED
$00C04F,49231,Stat_Multipliers,,USED
$05AD6A,372074,Levelup_stats_Rooks,,USED
$05C92D,379181,Data_Enemy_Affinity,Race/Element,USED
$05C9CD,379341,Data_Enemy_STR,,USED
$009708,38664,Operation_AddCarry,,USED
$05D195,381333,Flag_Boss_music,,USED
$05D1E5,381413,Boss_Num,,USED
$05D235,381493,Data_Enemy_Spellcast,,USED
$05D285,381573,Odd_Data1,,USED
$05D325,381733,Odd_Data6,,USED
$05CA95,379541,Data_Enemy_INT,,USED
$05CB35,379701,Data_Enemy_ENDUR,,USED
$009710,38672,Operation_EOR,,USED
$05CBD5,379861,Data_Enemy_ALERT,,USED
$05CC75,380021,Data_Enemy_Atk_Animation,,USED
$05CD15,380181,Data_Enemy_EqArmor,,USED
$05CDB5,380341,Data_Enemy_EqAmulet,,USED
$05CE55,380501,Data_Enemy_mHP,,USED
$05CEF5,380661,Data_Enemy_EXP,,USED
$05CF95,380821,Data_Enemy_GP,,USED
$05D035,380981,Data_Enemy_LVL,,USED
$018A73,100979,Event_Idling,,USED
$05DE86,384646,Prices_Weapons,,USED
$05DED8,384728,Prices_Armor,,USED
$05DF28,384808,Prices_Amulets,,USED
$05DF50,384848,Prices_Rings,,USED
$089A71,563825,CallEarth,,USED
$05DFA1,384929,EqFlag_Armor,,USED
$05DFC9,384969,EqFlag_Amulets,,USED
$05DFDD,384989,EqFlag_Rings,,USED
$05E0E3,385251,Weapon_affinity,,USED
$05DFF1,385009,Weapon_power,,USED
$05E043,385091,Armor_def,,USED
$05E093,385171,Amulet_def,,USED
$05E0BB,385211,Ring_def,,USED
$05E135,385333,Armor_affinity,,USED
$05E185,385413,Amulet_affinity,,USED
$00A1D6,41430,PtrTable_8DAD,,USED
$05E1AD,385453,Ring_affinity,,USED
$05E1D5,385493,Weapon_crit,,USED
$05E226,385574,Amulet_mdef,,USED
$05E2C7,385735,Weapon_spell_cast,,USED
$05E277,385655,Armor_penalty,,USED
$05E29F,385695,Amulet_penalty,,USED
$05E2B3,385715,Ring_penalty,,USED
$05E318,385816,Amulet_itemspell,,USED
$05E2EF,385775,Armor_itemspell,,USED
$05E32C,385836,Ring_itemspell,,USED
$05E340,385856,Spell_names,,USED
$00A138,41272,Tbl_A105,,USED
$009E06,40454,Unknown_Table,,USED
$009B0E,39694,JumpTo1049,,USED
$009AF8,39672,GetEventCode_1b_far,,USED
$18B1F6,1618422,Event_Lava2,,USED
$198D89,1674633,Palette_Galneon,,USED
$009B00,39680,GetEventCode_2b,,USED
$089BF7,564215,Heal3,,USED
$0899F0,563696,Attribute10,,USED
$089A4A,563786,CallWind,,USED
$05EE10,388624,Names_Strength,,USED
$05EE5E,388702,Names_Dead,,USED
$05EEAE,388782,Names_Return_Ring,,USED
$05F003,389123,Tbl_100_to_250,,USED
$05F038,389176,Names_Cards,,USED
$008B64,35684,Unknown_Tables,,USED
$0899BB,563643,Attribute9,,USED
$05F0E7,389351,Tbl_Spirit_def,,UNUSED
$00D20B,53771,Tbl_Songs,,USED
$05F127,389415,Tbl_0_to_120,,UNUSED
$058016,360470,Initialize_Rooks,,USED
$0011F3,4595,Party_order,0 1 2 3 default (Ro Sp G1 G2),UNUSED
$0012B3,4787,EqAmulet,,UNUSED
$06F0BD,454845,Unknown_SS_Data,,USED
$07A19C,500124,Spell_color_Field,,USED
$078872,493682,Spell_color_Battle,,USED
$0788C8,493768,Spell_name_readwrite,,USED
$05EA4C,387660,Spell_use_flag,,USED
$0089F1,35313,RNG,,USED
$00902B,36907,Read_EventCode,,USED
$00903C,36924,Read_EventAnim,,USED
